epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5411,1.18407,4.05366,1.30688,0.57423,0.06347,0.10726,0.06186,1.46488,3.53168,1.55291,0.000235948,0.000235948,0.000235948
2,102.508,1.25949,3.17234,1.32912,0.29963,0.25702,0.17769,0.10927,1.59037,2.98147,1.63219,0.000469256,0.000469256,0.000469256
3,139.192,1.33275,2.35994,1.36936,0.27975,0.262,0.23559,0.15624,1.54519,2.74705,1.64719,0.000697852,0.000697852,0.000697852
4,175.448,1.3128,2.12377,1.37354,0.3065,0.30022,0.25268,0.16152,1.60149,2.70669,1.67282,0.000692794,0.000692794,0.000692794
5,212.44,1.31085,2.00074,1.37491,0.24292,0.30168,0.24504,0.15559,1.54373,2.8396,1.65669,0.000685726,0.000685726,0.000685726
6,248.911,1.29274,1.91519,1.38275,0.25114,0.35043,0.25061,0.16065,1.54725,2.63028,1.65606,0.000678657,0.000678657,0.000678657
7,286.822,1.31153,1.85133,1.38608,0.31021,0.31164,0.25425,0.16488,1.5555,2.72491,1.64964,0.000671588,0.000671588,0.000671588
8,323.894,1.29348,1.81039,1.37293,0.33653,0.28318,0.26135,0.17948,1.56059,2.66232,1.65727,0.00066452,0.00066452,0.00066452
9,363.238,1.31895,1.80893,1.38839,0.30956,0.2808,0.26341,0.16879,1.5533,2.67,1.65709,0.000657451,0.000657451,0.000657451
10,398.859,1.29541,1.74571,1.36522,0.30443,0.34626,0.28981,0.19656,1.53952,2.54491,1.65265,0.000650383,0.000650383,0.000650383
11,434.659,1.28327,1.69331,1.35056,0.29691,0.30092,0.2627,0.17067,1.57066,2.64736,1.65736,0.000643314,0.000643314,0.000643314
12,470.518,1.30528,1.71529,1.37665,0.28979,0.31098,0.26942,0.17554,1.58113,2.60135,1.68789,0.000636245,0.000636245,0.000636245
13,506.489,1.2593,1.65305,1.34947,0.32922,0.28442,0.2722,0.18008,1.59702,2.66876,1.68116,0.000629177,0.000629177,0.000629177
14,543.893,1.25433,1.6587,1.34839,0.3227,0.27529,0.26304,0.17308,1.59493,2.75065,1.69584,0.000622108,0.000622108,0.000622108
15,578.626,1.26421,1.62842,1.3545,0.36148,0.32583,0.29081,0.18975,1.58388,2.70285,1.66644,0.00061504,0.00061504,0.00061504
16,613.48,1.28286,1.6318,1.36421,0.33065,0.31732,0.27328,0.18302,1.55406,2.62558,1.67719,0.000607971,0.000607971,0.000607971
17,650.086,1.23562,1.5838,1.34277,0.28633,0.27552,0.25197,0.1658,1.59879,2.76081,1.70925,0.000600902,0.000600902,0.000600902
18,684.238,1.26802,1.62883,1.35521,0.37169,0.26918,0.28493,0.2016,1.51299,2.44336,1.6471,0.000593834,0.000593834,0.000593834
